friendly	mangled	vtable_rva	subobj_off	col_rva	td_rva	vt0_func_rva
MarketplaceCarPacks	.?AVMarketplaceCarPacks@@	0x63018D8	0	0x6F74830	0x8B3EC78	0x351DD60
MarketplaceCarSelect	.?AVMarketplaceCarSelect@@	0x627D850	0	0x6F11400	0x8B05E08	0x3297300
MarketplacePackSelect	.?AVMarketplacePackSelect@@	0x627F380	0	0x6F11128	0x8B05DD8	0x3297380
MarketplacePurchaseOptions	.?AVMarketplacePurchaseOptions@@	0x62C0500	0	0x6F41B98	0x8B21D58	0x33C9C60
MatchmakingInProgressPromptPopup	.?AVMatchmakingInProgressPromptPopup@@	0x62C7458	0	0x6F46D50	0x8B242C0	0x33F8FC0
MessageCenter	.?AVMessageCenter@@	0x6359778	0	0x6FA7C90	0x8B3DD58	0x36900F0
MessageCenterAuctionHouse	.?AVMessageCenterAuctionHouse@@	0x635C3D8	0	0x6FA6158	0x8B5B610	0x3690140
MessageCenterBucketList	.?AVMessageCenterBucketList@@	0x6302360	0	0x6F70B10	0x8B3DD28	0x351DDE0
MessageCenterBusinessEarnings	.?AVMessageCenterBusinessEarnings@@	0x635D748	0	0x6FA67D8	0x8B5B678	0x3690240
MessageCenterCommunityNews	.?AVMessageCenterCommunityNews@@	0x635BA20	0	0x6FA6498	0x8B5B640	0x3690290
MessageCenterOnlineAdventureReward	.?AVMessageCenterOnlineAdventureReward@@	0x635CD90	0	0x6FA6B18	0x8B5B6B0	0x36902E0
MessageCenterRivals	.?AVMessageCenterRivals@@	0x635B068	0	0x6FA6E58	0x8B5B6F0	0x3690330
MessageCenterSocial	.?AVMessageCenterSocial@@	0x635A6B0	0	0x6FA5E20	0x8B5B5E0	0x36903A0
MinorObjectivesScene	.?AVMinorObjectivesScene@@	0x6302D68	0	0x6F71018	0x8B3DDC0	0x351DEB0
MonthlyRivalsSelect	.?AVMonthlyRivalsSelect@@	0x62D5118	0	0x6F4D350	0x8B27940	0x341F5E0
MulliganMenu	.?AVMulliganMenu@@	0x640A088	0	0x7028FA8	0x8BC4360	0x3A8D210
MultiPlaceholderScene	.?AVMultiPlaceholderScene@@	0x62EEE38	0	0x6F60678	0x8B34410	0x34ADF00
MyHorizonLife	.?AVMyHorizonLife@@	0x63964B8	0	0x6FD9838	0x8B91E80	0x37DFA60
MyStats	.?AVMyStats@@	0x629BAD8	0	0x6F23B20	0x8B0FF90	0x331DFA0
NavigationRestrictions	.?AVNavigationRestrictions@@	0x6375A50	0	0x6FB7068	0x8B65658	0x36F3030
NetworkWaitingForSignup	.?AVNetworkWaitingForSignup@@	0x643AC98	0	0x704D078	0x8BDAF20	0x3BCFA80
